conversation_id,key_issue,key_resolution
559,Poor store staff organization.,Feedback provided on store organization; no specific resolution offered.
560,Damaged tea packaging.,Replacement tea sent.
561,Discontinued preferred garlic supplement.,Offered discount and alternative products.
562,Scalp itching from biotin shampoo.,Stop using Biotin shampoo; try Argan Oil shampoo; consult healthcare provider if itching persists.
563,In-store price discrepancy for Manuka honey.,"Online order placed at discounted price, loyalty points applied."
564,Complimenting Camden store staff.,Positive feedback given; no issue to resolve.
565,Hidden fees at checkout.,No resolution offered; customer voiced concern about unclear fees at checkout.
566,Lost order.,Replacement order sent.
567,Incorrect order quantity.,Incorrect order quantity;  shipping correct amount + return label.
568,Finding an energy-boosting supplement.,Energy supplement recommendation (Coenzyme Q10) and store stock confirmation.
569,Click and collect order not fulfilled.,Order fulfillment issue resolved; 10% discount offered.
570,Confirmation of Click & Collect process.,Confirmed Click & Collect process.
571,Expressing appreciation.,No issue; expressing appreciation.
572,Price discrepancies between online and physical stores.,Price discrepancy explained; advised on newsletter and rewards program.
573,Change subscription delivery date.,Delivery date changed.
574,Late order delivery.,Order status escalated; update promised within 48 hours.
575,Expressing gratitude for a sale.,Positive feedback; no issue requiring resolution.
576,Spoiled vegan mayonnaise.,Replacement mayonnaise arranged.
577,Seeking hair and nail health supplement recommendations.,"Recommended Biotin tablets and Hair, Skin & Nails formula."
578,Product authenticity verification.,Collagen peptides authenticity confirmed.
579,Unresolved complaint about expired product causing illness.,Escalated complaint; 24-hour update promised.
580,Inaccurate product pricing labels in Edinburgh store.,Price information provided; store notified about mislabeling.
581,Complimenting store cleanliness.,Positive feedback; no issue resolution needed.
582,Damaged gluten-free cookies.,Replacement cookies arranged.
583,Positive feedback on staff knowledge and service.,Positive feedback; no issue.
584,Order delivered to incorrect address.,Order re-sent to correct address.
585,Price match inquiry.,Price match guarantee explained.
586,Incorrect product received in order.,"Incorrect product received; correct product sent, incorrect product kept."
587,Insufficient product descriptions (herbal supplements).,Feedback provided; detailed Ashwagandha info emailed.
588,Product return.,Return label emailed.
589,Damaged product packaging; protein powder spilled.,Replacement order and refund issued.
590,Failed delivery of online order.,Re-delivery arranged.
591,Damaged vitamin delivery.,Replacement package sent.
592,Suspected gluten cross-contamination in gluten-free cookies.,Refund issued; quality control notified.
593,Positive feedback on online shopping experience.,Positive feedback; no issue resolution needed.
594,Damaged packaging.,Replacement product ordered.
595,Damaged mayonnaise in order.,Damaged mayonnaise replacement sent.
596,Returning unwanted purchase.,Return approved.
597,Positive feedback on helpful staff.,Positive feedback; no issue resolution needed.
598,Click and collect order delay.,Order expedited; notification to follow.
599,Dosage uncertainty for protein powder.,Dosage recommendation for Whey Protein Isolate 90 provided.
600,Missing nutritional information (sugar content).,Sugar content provided: 4g per serving.
601,Ineffective Biotin tablets.,Offered refund or alternative product.
602,Out-of-stock click-and-collect order.,Order transferred to Trafford Centre store.
603,Click and collect order sent to wrong store.,Order transferred to correct store.
604,Order cancellation.,Order cancellation and refund initiated.
605,Gift card payment failure.,Gift card payment error resolved.
606,Seeking supplement advice for joint pain.,Recommended glucosamine and chondroitin supplement.
607,Price discrepancy between online and in-store pricing.,Online order placed at correct price.
608,Price inquiry/discount availability.,Buy One Get One Half Price discount applied.
609,"Bogus ""Buy One Get One Free"" offer.",Manually applied BOGOF offer.
610,Rude and abusive store manager.,Investigation of manager's behavior;  appropriate action to be taken.
611,Price comparison/seeking a better deal.,Buy one get one free offer provided.
612,Expressing gratitude for a deal.,Positive feedback; no issue resolution needed.
613,Click and collect order notification failure.,Order issue resolved; notification error fixed.
614,Product authenticity verification.,Flaxseed oil authenticity confirmed.
615,Coconut oil solidification.,Coconut oil solidifies at cooler temperatures; warm water will liquefy it.
616,"Damaged, expired nuts.",Refund issued.
617,Buyer's remorse due to promotional pressure.,Return instructions emailed.
618,Broken tracking link.,Order status confirmed; delivery expected today.
619,Poor in-store promotion of offers.,Feedback provided; improved in-store advertising requested.
620,Discount not applied at checkout.,Refund processed for discount not applied.
621,Delayed order delivery.,Order delayed by customs; escalated to shipping team; 10% discount offered.
622,Damaged product in delivery.,Replacement packet sent.
623,Incorrect shipping method selection.,Order change request denied; order already processing.
624,Wrong delivery address.,Redelivery arranged.
625,Incorrect pricing during Penny Sale.,Refund issued for overcharged Penny Sale items.
626,Poor staff engagement/unwelcoming staff.,Feedback on unhelpful staff reported to store manager.
627,Dairy-free confirmation for Collagen Peptides.,Confirmed product is dairy-free.
628,Inconsistent subscription order stock notifications.,System glitch causing inaccurate out-of-stock notifications resolved; 15% discount offered.
629,Positive click and collect experience.,Positive feedback; no issue.
630,Unreceived order.,Order reshipped due to incorrect address.
631,Expired protein powder; seeking refund.,Escalated to senior team for refund.
632,Positive feedback on Bristol store staff.,Positive feedback given; no resolution needed.
633,Damaged items in delivery.,Replacements sent for damaged items.
634,Ineffective CoQ10 supplement.,Give it more time; consult healthcare provider if no improvement.
635,Lack of probiotic variety in Cardiff store.,"Restock next week, expansion planned."
636,Requesting information on turmeric supplements.,Information on turmeric supplement benefits and potential side effects provided.
637,Missing delivery.,Replacement order sent.
638,Damaged product delivery.,"Replacement order sent, damaged return arranged."
639,Price difference on multivitamins.,No price match; offered alternative promotions.
640,Positive feedback.,Positive feedback given.
641,Low herbal tea stock in Manchester store.,Restock expected end of week.
642,Confusing store layout.,Feedback forwarded to store management; online product search provided.
643,Negative review rejected.,Resubmit review following guidelines.
644,Website login issues.,Technical glitch resolved.
645,Missed email notifications prevented subscription order changes.,Subscription order adjusted; protein shakes removed.
646,Poor customer service at Serpentine Peterborough store.,Issue escalated to store manager.
647,Out-of-stock click-and-collect order.,Order transferred to Birmingham store.
648,Ineffective joint pain supplement.,Suggested to wait longer; offered alternative or refund if still ineffective.
649,Missing reward points.,Missing reward points added.
650,Unable to update email preferences online.,Email preferences updated by agent.
651,Melted ice cream delivery.,Replacement ice cream sent.
652,Expressing gratitude for good service.,Positive feedback; no issue requiring resolution.
653,"Unsealed, unusable product received.",Replacement product will be sent; expedited shipping requested.
654,Damaged B12 supplement delivery.,Damaged B12 supplement replaced.
655,Rude staff at Ealing Broadway store.,Complaint logged; store manager to investigate rude staff behavior.
656,Hair dye didn't cover gray hair.,Recommended longer application time.
657,Positive feedback on fast delivery.,Positive feedback; no issue.
658,Order delivered to wrong address.,Order reshipped at no extra cost.
659,Product return.,Return processed; customer to return product to store.
660,Delayed order delivery.,"Delayed order; replacement sent, 10% discount offered."
661,"Damaged vitamin bottle, missing pills.",Replacement order sent.
662,Positive feedback on subscription service.,Positive feedback; no issue resolution needed.
663,Delayed delivery of order HNB98765.,"Order delayed; will be dispatched today, delivery fee refunded, and 10% discount given."
664,Incorrect delivery address.,Express redelivery arranged.
665,Damaged protein powder delivery.,"Replacement order sent, refund issued."
666,Subscription payment confirmation.,Payment confirmation.
667,Gluten-free pasta caused digestive issues.,Refund issued; feedback forwarded to quality team.
668,Damaged Matcha powder delivery.,Replacement sent for damaged Matcha powder.
669,Request for more organic cleaning product options.,Feedback submitted; notification of new products promised.
670,Trouble applying discount code.,Discount code applied to order.
671,Unknowledgeable staff.,Feedback provided; staff training requested.
672,Expired compensation voucher.,Expired voucher reactivated and extended.
673,Expiring Turmeric capsules.,Replacement sent.
674,Received half-empty protein powder.,Replacement protein powder sent.
675,Positive feedback.,Positive feedback given.
676,Lack of follow-up on a reported protein bar issue.,Issue escalated; callback promised within 24 hours.
677,Incomplete 'Buy One Get One Free' order fulfillment.,Missing BOGO items to be shipped.
678,Knee pain.,Recommended Glucosamine and Chondroitin supplements for knee pain.
679,Delayed order shipment.,Order status update promised within 24 hours.
680,Incorrect order fulfillment.,Incorrect order received; correct item will be resent.
681,Delayed order delivery.,Replacement order expedited.
682,Delayed supplement delivery.,Expedited shipment due to courier issue.
683,Incorrect order: received wrong protein bar flavor.,"Wrong flavor received; correct flavor sent, incorrect flavor kept as a gift."
684,Account linking error preventing discount use.,Account email incorrectly linked; corrected.
685,Failed delivery of protein bar order.,Re-delivery arranged.
686,Spoiled dairy-free milk.,Refund issued for spoiled dairy-free milk.
687,Damaged protein powder delivery.,Replacement order sent.
688,Poor in-store customer service.,Feedback on poor Swansea Quadrant store service reported to manager.
689,Unable to create new app account (duplicate email found).,Existing account found; password reset advised.
690,Damaged order upon arrival.,Reordered damaged order.
691,Account login failure.,Account reactivation attempted; escalated to tech support.
692,Positive feedback on Vitamin D3 tablets.,Positive feedback; no issue.
693,Out-of-stock favorite products.,Order placed; out-of-stock issue noted.
694,Positive feedback; no issue.,Positive feedback given; no issue to resolve.
695,Expired voucher code.,Voucher reactivated.
696,Lack of noticeable results from collagen powder.,Continue usage for several more months; consult healthcare provider if no improvement.
697,"Damaged delivery, spilled contents.",Replacement order and 10% discount.
698,Seeking sleep aid recommendation.,Recommended Valerian Root capsules for sleep.
699,Price discrepancy between online and in-store purchases.,No price matching offered.
700,Out-of-stock turmeric powder.,Turmeric powder reserved; in-stock by end of week.
701,Incorrect promotional pricing.,Refund issued for wrongly charged promotional item.
702,Price increase of Omega-3 fish oil.,Buy One Get One Half Price offer available.
703,Expired product purchased.,Full refund issued for expired product.
704,Damaged skincare product delivery; lack of initial response.,Replacement product sent; discount coupon offered as apology.
705,Out-of-stock chia seeds.,Chia seeds out of stock; expected restock in 10 days; website alternative.
706,Lack of response to a complaint about rude staff.,Complaint escalated to store manager; update promised within 48 hours.
707,Out-of-stock online product.,Product reserved in Manchester store.
708,Unreceived order; cancellation requested.,"Order cancelled, refund initiated."
709,Order delivery problems.,"Replacement order sent, 15% discount offered."
710,Missing rewards points from in-store purchase.,Points added to rewards account.
711,Failed online payment.,Refund initiated for failed payment.
712,Click and collect order not available at store (three times).,Order reshipment to store; 10% discount offered.
713,Expressing gratitude for a promotion.,Positive feedback; no issue resolution needed.
714,Positive feedback.,Positive feedback; no issue resolution needed.
715,Expired protein bars; delayed follow-up.,Issue escalated; callback promised within 24 hours.
716,Partial order fulfillment; out-of-stock items.,Partial order refund issued.
717,Missing wellness box.,Delayed shipment; expedited reshipment and extra item in next box.
718,Store closed early due to staff shortage.,Store closed early due to staffing issues.
719,Rude store staff.,Complaint logged; store staff behavior to be investigated.
720,Positive feedback on Oxford store staff.,Positive feedback; no issue requiring resolution.
721,Inadequate complaint response.,Complaint re-escalated; personalized response promised within 48 hours.
722,Delivery date change request (denied).,Order already dispatched; delivery date change impossible.
723,Requesting information on green tea benefits.,Information request fulfilled.
724,Lost vitamin order.,Lost order replaced.
725,Delayed order cancellation.,Order cancellation processed; refund pending.
726,Delayed skincare order delivery.,Order delayed; expedited delivery and 15% discount offered.
727,Expressing gratitude for a discount.,Expressing gratitude for discount.
728,Unresolved order issue.,Issue escalated for expedited resolution.
729,Inquiry about current special offers.,Provided a list of current promotions via email.
730,Forgotten items in order.,Added items to existing order.
731,Positive feedback on Ipswich store.,Positive feedback; no issue resolution needed.
732,Delayed complaint resolution.,Complaint expedited; update within 24 hours.
733,Missing nutritional information (fiber content).,Fiber content provided: 4g per serving.
734,Harassment by security guard.,Investigation into security guard's behavior and additional training if needed.
735,App keeps logging out.,App update/reinstall suggested.
736,Lost rewards card.,New rewards card issued; points transferred.
737,Failed online payment.,Phone order placed.
738,Poor customer service at Swansea Quadrant store.,Feedback on poor service at Swansea Quadrant store reported to manager.
739,Reason for contacting: Compliment,Positive feedback given; no issue requiring resolution.
740,Discontinued favorite protein powder.,Sample of new protein powder sent.
741,Checking loyalty points balance.,Provided information on loyalty program balance check methods.
742,Understanding special offers on organic skincare.,Provided information on current promotions.
743,Limited in-store protein powder selection.,Wider selection of plant-based protein powders available online.
744,Confusing store layout (beauty section).,Feedback on store layout received; store manager notified.
745,No issue; complimenting service.,No issues; contact to commend service.
746,Incorrect product quantity received.,Replacement 60-capsule probiotic bottle sent.
747,Positive feedback on staff knowledge and helpfulness.,Positive feedback given; no issue to resolve.
748,Positive feedback on delivery speed.,Positive feedback; no issue.
749,Delayed order.,Order delay explained; shipment in 2 days.
750,Leaking supplement bottle in order.,Replacement sent for leaking bottle.
751,Suspected fake protein powder.,Product authenticity confirmed; smell variation due to natural ingredient changes.
752,Delayed vitamin shipment.,Shipment delayed due to stock issues; will ship within 24 hours.
753,Late package delivery.,"Package delayed, expected within 2 days due to courier issue."
754,Missing item in delivery.,Missing oat milk resent; discount provided.
755,Seeking women's health supplement recommendations.,Recommended Women's Multivitamin & Mineral with Evening Primrose Oil.
756,Reduced tablet quantity in D3 jar; price not adjusted proportionally.,15% discount offered for smaller-than-expected D3 tablet quantity.
757,Lack of noticeable effect from B12 supplements.,Continue taking the supplement; consult a doctor if no improvement after several weeks.
758,Incorrect product size received.,Replacement of incorrectly sized essential oil.
759,Positive store experience.,Positive feedback; no issue resolution needed.
760,Lack of product knowledge by store staff.,Supplement recommendations provided.
761,Allergic reaction to Evening Primrose Oil.,Refund issued; advised medical consultation.
762,Lost elderberry syrup order.,Replacement elderberry syrup shipped.
763,Higher in-store price for whey protein.,£5 voucher offered for price difference.
764,Delayed vitamin delivery.,Order expedited; delivery within 2 days.
765,Invalid promotion code (due to minimum order value).,Minimum order value clarification.
766,Seeking protein bar recommendation for post-workout recovery.,Recommended High Protein Chocolate Bar for post-workout recovery.
767,Store closed early unexpectedly.,Home delivery arranged for order.
768,Felt pressured into overspending.,Feedback provided; no resolution needed.
769,Lack of weight loss despite using Apple Cider Vinegar capsules.,Suggested Green Tea Extract as alternative.
770,Unable to register account due to email validation error.,Account created by agent.
771,Expired peanuts in online order.,Replacement peanut packet sent.
772,Positive feedback on Glasgow store staff.,Positive feedback given; no issue to resolve.
773,Ineffective Turmeric supplement.,Continue use; consult doctor if no improvement.
774,Delayed refund for returned order (#123456).,Refund processing escalated; resolution expected within 48 hours.
775,Promotional code inapplicability.,Promo code is one-time use only.
776,Incomplete order fulfillment.,Missing item from BOGO sale will be sent.
777,Missing order confirmation email; order lost in transit.,Order reshipped.
778,Expressing appreciation for good service.,Positive feedback; no issue resolution needed.
779,Concern about palm oil in products.,Provided list of palm oil-free alternatives via email.
780,Pausing a subscription.,Subscription paused for two months.
781,Missing order confirmation email after payment.,Order confirmation resent; payment confirmed.
782,Unable to log in.,Password reset.
783,Unexpected bonus point deduction.,Points reissued as a one-time courtesy.
784,Severe allergic reaction to supplements.,Full refund issued; discontinue product use.
785,Price difference on a purchased supplement.,Buy one get one half price offer.
786,Spirulina powder out of stock in Oxford store.,Expected restock in 10 days; online purchase also available.
787,Limited in-store gluten-free granola bar selection.,Provided links to online gluten-free granola bars.
788,Delayed order.,Order delayed at warehouse; now out for delivery.
789,Concern about sucralose in protein powder.,Offered sucralose-free protein powder alternatives.
790,Missing almond butter deliveries.,Missing almond butter replaced; 10% discount added.
791,Missing first subscription order.,Order expedited; delivery within 2 days.
792,Ineffective melatonin supplement.,Upgraded to 5mg melatonin.
793,Damaged vitamins in delivery.,Replacement bottle sent.
794,Damaged items in delivery.,Replacements sent for damaged items.
795,Side effects from hair growth capsules.,Refund issued; discontinue use and consult doctor.
796,Expressing gratitude for a promotion.,Positive feedback; no issue resolution needed.
797,Understanding Penny Sale promotion details.,Information about Penny Sale promotion.
798,Limited in-store weight management product selection.,Website has a wider selection of weight management products.
799,Damaged Omega-3 supplement delivery.,Replacement promised within 48 hours.
800,Late/lost order delivery.,Replacement order sent.
801,Failed tea delivery.,Re-delivery arranged.
802,Damaged goods in delivery.,Replacement coconut oil jars sent.
803,Expressing appreciation for a promotion.,Positive feedback on promotion.
804,Unreceived order.,Lost package; replacement order issued.
805,Information request about new vegan protein powders.,Information provided on new vegan protein powder range.
806,Late order delivery.,Late order due to warehouse backlog; 10% discount offered.
807,Received a partially filled Arnica gel tube.,Replacement Arnica gel sent.
808,Damaged order contents.,"Replacements sent, improved packaging promised."
809,Incorrect BOGOF application.,Refund issued for incorrect BOGOF charge.
810,Rude and unhelpful supervisor at Chesterfield store.,Complaint escalated to store manager.
811,Expressing appreciation.,No issue; expressing appreciation.
812,Lost order.,Replacement order sent.
813,Incorrect product received.,Incorrect order shipped; correct order dispatched.
814,Seeking joint health supplement recommendations.,"Supplement recommendations for joint health: glucosamine, chondroitin, omega-3 fish oil."
815,Unable to log in.,Account session issue resolved.
816,Missing item in order.,Missing item reshipped; discount offered.
817,Nausea after taking Echinacea; seeking refund.,Refund processed for Echinacea tablets due to nausea.
818,Unhelpful staff in Sheffield store.,Issue reported to store manager.
819,Seeking hair growth product recommendation.,"Product recommendation: Holland & Barrett Hair, Skin & Nails Formula."
820,Lack of order update.,Order status update provided.
821,Discontinued products.,Online order placed for replacement products.
822,Missing promotional emails.,Email subscription reactivated.
823,Expired vitamins return.,Return to any store with receipt.
824,Received protein bars with expiring soon.,Replacement order with longer expiration date.
825,Incorrect order fulfillment.,Refund processed.
826,Difficulty managing Subscribe & Save online.,Instructions on managing subscriptions online.
827,Recommendation request: iron supplement.,Recommended Holland & Barrett Gentle Iron supplement.
828,Ineffective Spirulina tablets.,Return authorized.
829,Missing click and collect notification.,Order ready for collection; notification issue resolved.
830,Poor customer service at Swansea Quadrant store.,Issue escalated to Swansea Quadrant store manager.
831,Missing item from BOGO order.,Missing item from BOGO order resent.
832,Product authenticity verification.,Product authenticity confirmed.
833,Order shipment status inquiry.,"Order shipped, tracking email to follow."
834,Rude cashier in Liverpool store.,Feedback forwarded to manager; 10% discount offered.
835,Damaged supplements delivery.,Damaged supplements; replacements to be sent.
836,Lack of sports nutrition discounts.,Feedback provided; no resolution needed.
837,Poor customer service in Swansea Quadrant store.,Feedback reported to store manager.
838,"Damaged product, complaint unresolved.",Complaint escalated; update within 48 hours.
839,Limited organic food selection in Norwich store.,Directed customer to online store's larger organic food selection.
840,Possible B12 supplement formula change.,Batch variation; offered refund/replacement.
841,Ineffective magnesium tablets.,Offered refund or alternative product.
842,Missing nutritional information on product packaging.,Provided nutritional information for SKU 77889.
843,Inconsistent bag policies across stores.,Offered free reusable bag for next visit.
844,Chertsey store closed early.,Follow-up with store manager regarding early closure.
845,Voucher discount not applied.,Refund issued for discount error.
846,Lack of follow-up on reported issue with order #234567.,Issue escalated; callback promised within 24 hours.
847,Missing item in order.,Full refund issued for out-of-stock item.
848,Difficulty finding a product on website.,Provided product link.
849,Incorrect order fulfillment.,"Wrong item shipped; replacement sent, vitamin C kept."
850,Incorrect delivery address.,Order re-sent to correct address.
851,Non-working voucher code.,Voucher activated.
852,Incorrect delivery address.,Replacement order sent to correct address.
853,Unfulfilled in-store pickup order.,Order reshipped to preferred store.
854,Doubt about coconut oil authenticity.,Product authenticity confirmed.
855,Aloe Vera gel out of stock in Liverpool store.,Aloe Vera gel out of stock in Liverpool; website alternative offered.
856,Vegetarian suitability of Omega-3 supplement.,Product suitability confirmed; vegetarian alternative suggested.
857,Price increase on protein bars.,Information on loyalty program.
858,Incomplete order.,Missing item (Manuka Honey) to be sent.
859,GMO concern in protein bar.,Agent will email about GMO status of chocolate protein bar.
860,Delayed vitamin delivery.,Expedited delayed vitamin delivery.
861,Discontinued favorite protein bar.,Alternative product recommendations and discount code offered.
862,Inquiry about new conscious beauty product line.,Information request: details on new conscious beauty line.
863,Incomplete order; missing items.,Missing items to be sent.
864,Buy one get one free offer not applying at checkout.,Manually applied BOGO offer to order.
865,Dairy allergy concern regarding granola.,Granola is dairy-free.
866,Positive feedback on menopause supplements.,Positive feedback given; no resolution needed.
867,To praise York store staff.,Positive feedback given; no resolution needed.
868,Damaged skincare delivery.,Replacement shipment and 15% discount.
869,Damaged product in delivery.,Replacement bottle shipped.
870,Delayed order.,Order delay explained; shipment in 2 days.
871,Reason for contact: Positive feedback on fast delivery.,Positive feedback; no issue resolution needed.
872,Messy Stowmarket store.,Store manager notified about messy vitamin aisle.
873,Incomplete Vitamin D bottle.,Replacement bottle sent.
874,Incomplete product description; vegan customer received non-vegan product.,Refund issued.
875,Missing shipping update.,Order status update provided.
876,Click and collect order not available in store.,Order collection issue resolved; system error corrected.
877,Expressing gratitude for a sale.,Positive feedback; no issue needing resolution.
878,Concern about titanium dioxide in calcium supplements.,Recommended alternative calcium tablets without titanium dioxide.
879,Discontinued product.,Product discontinued; alternative products suggested.
880,Click-and-collect order not available at store.,Order reshipment to store; 10% discount offered.
881,Incomplete vegan hamper delivery.,Missing items from order HB889900 will be reshipped.
882,Authenticity of coconut oil purchase.,Coconut oil authenticity confirmed.
883,Finding nearest store location.,Nearest store location provided.
884,Needed plant-based protein powder recommendation.,Recommended Holland & Barrett Vegan Protein Powder.
885,Limited in-store vitamin selection.,Online order directed.
886,Allergic reaction to dairy-free cheese.,Refund issued.
887,Offensive menopause campaign email.,Customer opted out of menopause campaign emails.
888,Delayed refund processing.,Refund expedited; will arrive in 3-5 business days.
889,Incorrect click and collect order (wrong protein flavor).,Incorrect order fulfilled;  replacement provided plus loyalty points.
890,Lack of promised callback after complaint.,Manager callback promised.
891,Verification of tea's organic status.,Tea confirmed organic.
892,Inaccurate product description (organic pasta).,Refund issued.
893,CBD oil expiration date shorter than expected.,Full refund issued for CBD oil with short expiry date.
894,Lack of effect from B12 supplement.,Consult healthcare provider.
895,Omega-3 dosage verification.,Dosage confirmed: 1000mg Omega-3 sufficient for general wellness.
896,Positive feedback on subscription service.,Positive feedback on subscription service.
897,Discontinued product.,Product discontinued; alternative products and discount offered.
898,Messy Stowmarket store.,Feedback forwarded to store manager.
899,Uninformed staff at Fulham store.,Staff training improvement requested.
900,Severe allergic reaction to hair dye.,"Refund issued, voucher provided; customer to seek medical attention."
901,Missing Click & Collect notification.,Order ready for pickup; notification resent.
902,Seeking supplement recommendations.,Supplement recommendations for immune support and energy.
903,Expressing gratitude for online offers.,Positive feedback; no issue.
904,Late protein powder delivery.,Delivery delayed; 10% discount offered.
905,Low energy levels.,Recommended B-Complex vitamins for fatigue.
906,Incorrect item in order.,Incorrect item resent.
907,Preference for specific staff member & inquiry about loyalty program.,Provided information on loyalty program and suggested asking for preferred staff member.
908,Expressing gratitude for fast delivery.,Positive feedback; fast delivery.
909,Label change concern.,Label design update; honey is authentic.
910,Incomplete next-day delivery.,Expedited missing item delivery and refunded next-day delivery fee.
911,Website address update failure.,Delivery address updated.
912,Missing product information (vitamin content).,Provided vitamin content of Super Greens Powder.
913,Unexpected artificial colorants in vitamin D supplement.,Refund initiated for vitamin D supplements.
914,Seeking digestive health supplement recommendations.,Recommended probiotics and aloe vera tablets for digestive health.
915,Subscription order sent to old address despite address update.,Subscription order resent to new address.
916,Price increase of Coenzyme Q10 supplements.,Subscribed to price notifications.
917,Order cancellation.,Order cancellation and refund initiated.
918,Late vitamin deliveries.,Delivery fee refunded.
919,Conflicting nutritional information on Keto Protein Bars.,Nutritional information clarified.
920,Website newsletter subscription error.,Manual newsletter subscription.
921,Positive feedback on Chertsey store.,Positive feedback given; no resolution needed.
922,Damaged product (broken seal).,Replacement bottle sent.
923,Declined debit card payment.,Temporary payment gateway issue resolved.
924,Missing item in order.,Missing item to be resent next day.
925,Missing order items.,Refund issued for lost package.
926,Out-of-stock Omega-3 Fish Oil.,Backordered Omega-3 Fish Oil; customer notified of expected arrival and added to next order.
927,Missing delivered package.,Replacement order sent.
928,Positive feedback.,Positive feedback; no issue resolution needed.
929,Ineffective Ashwagandha supplement.,Wait longer; consult doctor if no improvement.
930,Contaminated chia seeds.,Replacement chia seeds sent.
931,Lack of upfront click and collect timeframe information.,Feedback provided; no resolution offered.
932,Seeking bone health supplement recommendations.,Recommended Calcium and Vitamin D3 supplements.
933,Request for product information.,Provided information on H&B Collagen Tablets.
934,Reason for contacting support: To compliment the Liverpool store staff.,Positive feedback; no issue requiring resolution.
935,Missed delivery.,Re-scheduled delivery.
936,Website showed inaccurate stock information.,Online order placed for out-of-stock item.
937,Lack of order collection notifications.,Order ready for collection;  loyalty points added; issue escalated.
938,Incorrect order fulfillment.,"Incorrect order shipped; correct order resent, customer keeps incorrect items."
939,Late delivery of Omega-3 supplements.,Shipping delay; offered discount on next order.
940,Poor customer service at Serpentine Peterborough store.,Feedback on poor store service reported to management.
941,Incorrect shipping address on subscription.,Subscription address corrected; order resent.
942,Seeking menopause supplement recommendations.,Menopause supplement recommendations (Black Cohosh and St. John's Wort) and order placed.
943,Incorrect sale price charged.,Refund issued for price difference.
944,Delayed click-and-collect order notification.,Order delay resolved; order ready for collection.
945,Positive feedback on store organization.,Positive feedback; no issue resolution needed.
946,Changed taste of vegan protein powder.,Formula change; refund issued.
947,Late Subscribe & Save delivery.,10% discount applied for late delivery.
948,Store closed early; order uncollected.,Order re-routed to customer's home due to store closure.
949,Order processing delay.,Order dispatch delayed; expected within 24 hours.
950,Racial discrimination by staff.,Investigation of racial discrimination complaint.
951,Positive feedback on store visit and staff.,Positive feedback; no issue resolution needed.
952,Unarrived store collection order.,"Order cancelled, refund processed."
953,Expressing gratitude.,No issue; expressing appreciation.
954,Narrow store aisles.,Feedback submitted to store manager.
955,Promotion code not working.,Promotion code error fixed; discount applied.
956,Ineffective Vitamin C tablets.,Refund issued.
957,Out-of-stock online item; requested in-store availability check and reservation.,Spirulina tablets reserved at Greenford store.
958,Click and collect order not available in store.,Order status corrected; available for collection.
959,Account deleted during system update.,Account recreated; past orders linked.
960,Limited dairy-free cheese selection in store.,Provided online dairy-free cheese options.
961,Skin breakouts; seeking supplement advice.,Supplement recommendation: Zinc and Vitamin E.
962,Missing item in repeat order.,Missing B12 supplements reshipped.
963,Unhelpful Cardiff store staff.,Feedback relayed to store manager.
964,Store closed early due to electrical issue.,Beccles store closed early due to electrical issue.
965,Damaged product upon arrival.,Replacement sent.
966,Slow delivery times.,"Expedited future shipping, discount coupon issued."
967,Eye strain; seeking supplement advice.,Recommended Lutein and Bilberry supplements.
968,Inaccurate promotional flyer.,Discount code issued for miscommunication about offer.
969,Concern about nut traces in Seed Mix.,Product may contain nut traces; avoid if allergic.
970,Positive feedback on Stowmarket store.,Positive feedback on Stowmarket store.
971,Product unavailability.,Vitamin D3 capsules reserved at Regent Street store.
972,Click and collect order not available at store (twice).,Order reshipment to store; 10% discount offered.
973,Out-of-stock item in online order.,Entire order cancelled; refund issued.
974,Incorrect delivery address.,Order reshipped to correct address.
975,Late delivery of fish oil supplements.,Replacement order expedited.
976,Positive feedback on Leicester store staff.,Positive feedback on Leicester store staff's helpfulness.
977,In-store unavailability of online advertised promotion.,Online purchase recommended.
978,Incorrect delivery address.,Delivery address corrected.
979,Incorrect product received.,Incorrect order received; correct item will be resent.
980,Delayed package delivery.,Customs hold; escalated to logistics; free shipping coupon offered.
981,Expressing appreciation for quick delivery.,Positive feedback; no issue resolution needed.
982,Higher prices compared to competitor.,Offered BOGO 50% discount.
983,Positive feedback on Edinburgh store staff and store condition.,Positive feedback given; no issue to resolve.
984,Felt pressured into unwanted purchases.,Return instructions emailed; feedback sent to store manager.
985,Changing order pickup date.,Pickup date changed.
986,Delayed international shipping.,Shipping delay escalated; 10% discount offered.
987,Product out of stock online.,Email notification for out-of-stock product.
988,Reduced frequency of buy-one-get-one-free offers on Holland & Barrett brand vitamins.,Feedback noted; current promotions list sent.
989,Allergic reaction to skincare product; complaint unresolved.,Complaint escalated for faster resolution; update in 48 hours.
990,Messy organic food section in Manchester store.,Store manager notified about messy organic food section.
991,Lack of clear bulking agent information on vitamin labels.,Escalated to product team for ingredient details.
992,Beccles store closed early.,Store closure explained; emergency.
993,No issue; providing positive feedback.,Positive feedback given.
994,Damaged goods received (three times).,Replacement order and 15% discount.
995,Inquiring about new conscious beauty products.,Product information provided; recommendation given.
996,Order delay due to stock issue; lack of communication.,Order delayed due to stock issues; 15% discount offered.
997,Failed online payment.,Refund initiated for £28.
998,Lack of noticeable hair growth after two months of Biotin use.,Continue taking biotin for a few more months; consult a healthcare provider if no improvement.
999,Delayed order shipment.,Order status update promised within 24 hours.
